gene,num_isoforms,top_predicted_isoforms,avg_pred_total,avg_true_total
ARHGAP36,4,"ENST00000276211, ENST00000412432, ENST00000370921",1.1549429893493652,44.600006103515625
GUSBP2,2,"ENST00000492832, ENST00000463434",1.154845118522644,10.286666870117188
NLRP13,2,"ENST00000342929, ENST00000588751",1.1548044681549072,3.4600000381469727
ENSG00000230495,1,ENST00000434165,1.1547062397003174,1.940000057220459
ENSG00000257360,1,ENST00000548294,1.1541719436645508,14.616668701171875
OR10R3P,1,ENST00000361688,1.1538786888122559,10.296667098999023
TPT1P8,2,"ENST00000675646, ENST00000510120",1.1538376808166504,2.43666672706604
RNU6-1180P,1,ENST00000364935,1.1537444591522217,4.066666603088379
SNRPN,4,"ENST00000577565, ENST00000579070, ENST00000553597",1.1533105373382568,3.380000114440918
ENSG00000257264,1,ENST00000546674,1.1530755758285522,6.550000190734863
ENSG00000228351,2,"ENST00000649560, ENST00000428171",1.152841329574585,5.783333778381348
CENPC,2,"ENST00000513216, ENST00000515140",1.1525187492370605,2.430000066757202
LYG1,2,"ENST00000308528, ENST00000409448",1.1523748636245728,6.020000457763672
SEPHS1P6,1,ENST00000443084,1.1523727178573608,4.0333333015441895
MIX23P2,1,ENST00000417131,1.1518778800964355,2.7966666221618652
ENSG00000259097,3,"ENST00000663808, ENST00000555776, ENST00000702227",1.1518590450286865,1.7300000190734863
ENSG00000231440,1,ENST00000428891,1.1515915393829346,2.373333215713501
HOXA11,2,"ENST00000006015, ENST00000517402",1.1515493392944336,4.829999923706055
SRD5A1P1,1,ENST00000442297,1.1511204242706299,5.349999904632568
ENSG00000287776,2,"ENST00000687758, ENST00000665977",1.1507458686828613,4.179999828338623
ENSG00000277017,1,ENST00000620909,1.150739312171936,3.136666774749756
MIR873,1,ENST00000401120,1.1506139039993286,5.353333473205566
ENSG00000212228,1,ENST00000390926,1.1506073474884033,2.569999933242798
ENSG00000258772,1,ENST00000555642,1.1502455472946167,4.223333358764648
MIR2278,1,ENST00000516344,1.1500588655471802,29.74332618713379
STIM2-AS1,1,ENST00000667363,1.1489604711532593,42.060001373291016
SHISA3,1,ENST00000319234,1.1485928297042847,3.569999933242798
